name,category,qlib_expression,fields_used,price_basis,registry_status,formal_eligible,expected_sign,expected_decay_days,neutralization,rationale
qual_cash_collection_ttm,Quality,"(Ref($c_fr_sale_sg_sq_q0, 1) + Ref($c_fr_sale_sg_sq_q1, 1) + Ref($c_fr_sale_sg_sq_q2, 1) + Ref($c_fr_sale_sg_sq_q3, 1)) / (Ref($total_revenue_sq_q0, 1) + Ref($total_revenue_sq_q1, 1) + Ref($total_revenue_sq_q2, 1) + Ref($total_revenue_sq_q3, 1))",$c_fr_sale_sg_sq_q0;$c_fr_sale_sg_sq_q1;$c_fr_sale_sg_sq_q2;$c_fr_sale_sg_sq_q3;$total_revenue_sq_q0;$total_revenue_sq_q1;$total_revenue_sq_q2;$total_revenue_sq_q3,raw,unknown_field,no,+,120,"industry,size",Cash-quality of sales: revenue backed by cash collections should be higher quality than receivable-led growth.
acc_inventory_sales_mismatch_yoy,Accruals,"(Ref($inventories_q0, 1) / Ref($inventories_q4, 1) - 1) - (Ref($total_revenue_sq_q0, 1) / Ref($total_revenue_sq_q4, 1) - 1)",$inventories_q0;$inventories_q4;$total_revenue_sq_q0;$total_revenue_sq_q4,raw,unknown_field,no,-,120,"industry,size",Inventory buildup faster than sales is a channel-stuffing / demand-quality warning.
acc_receivables_sales_mismatch_yoy,Accruals,"(Ref($accounts_receiv_q0, 1) / Ref($accounts_receiv_q4, 1) - 1) - (Ref($total_revenue_sq_q0, 1) / Ref($total_revenue_sq_q4, 1) - 1)",$accounts_receiv_q0;$accounts_receiv_q4;$total_revenue_sq_q0;$total_revenue_sq_q4,raw,unknown_field,no,-,120,"industry,size",Receivables growing faster than sales indicates aggressive revenue recognition / cash conversion deterioration.
val_fcf_ev_ttm,Value,"((Ref($n_cashflow_act_sq_q0, 1) + Ref($n_cashflow_act_sq_q1, 1) + Ref($n_cashflow_act_sq_q2, 1) + Ref($n_cashflow_act_sq_q3, 1)) - (Ref($c_pay_acq_const_fiolta_sq_q0, 1) + Ref($c_pay_acq_const_fiolta_sq_q1, 1) + Ref($c_pay_acq_const_fiolta_sq_q2, 1) + Ref($c_pay_acq_const_fiolta_sq_q3, 1))) / (Ref($total_mv, 1) * 10000 + Ref($total_liab_q0, 1) - Ref($money_cap_q0, 1))",$c_pay_acq_const_fiolta_sq_q0;$c_pay_acq_const_fiolta_sq_q1;$c_pay_acq_const_fiolta_sq_q2;$c_pay_acq_const_fiolta_sq_q3;$money_cap_q0;$n_cashflow_act_sq_q0;$n_cashflow_act_sq_q1;$n_cashflow_act_sq_q2;$n_cashflow_act_sq_q3;$total_liab_q0;$total_mv,mixed_raw_fundamentals_mv,unknown_field,no,+,120,"industry,size,quality",FCF/EV yield: cashflow value factor using enterprise value rather than equity market cap only.
val_ebitda_ev_ttm,Value,"(Ref($ebitda_sq_q0, 1) + Ref($ebitda_sq_q1, 1) + Ref($ebitda_sq_q2, 1) + Ref($ebitda_sq_q3, 1)) / (Ref($total_mv, 1) * 10000 + Ref($total_liab_q0, 1) - Ref($money_cap_q0, 1))",$ebitda_sq_q0;$ebitda_sq_q1;$ebitda_sq_q2;$ebitda_sq_q3;$money_cap_q0;$total_liab_q0;$total_mv,mixed_raw_fundamentals_mv,unknown_field,no,+,120,"industry,size,quality",EBITDA/EV yield is easier to rank than EV/EBITDA with negative denominators and uses TTM flows.
lev_interest_coverage_ttm,Leverage,"(Ref($ebit_sq_q0, 1) + Ref($ebit_sq_q1, 1) + Ref($ebit_sq_q2, 1) + Ref($ebit_sq_q3, 1)) / (Ref($fin_exp_int_exp_sq_q0, 1) + Ref($fin_exp_int_exp_sq_q1, 1) + Ref($fin_exp_int_exp_sq_q2, 1) + Ref($fin_exp_int_exp_sq_q3, 1))",$ebit_sq_q0;$ebit_sq_q1;$ebit_sq_q2;$ebit_sq_q3;$fin_exp_int_exp_sq_q0;$fin_exp_int_exp_sq_q1;$fin_exp_int_exp_sq_q2;$fin_exp_int_exp_sq_q3,raw,unknown_field,no,+,120,"industry,size,value",Debt-service quality using financial-expense interest expense rather than bank-style interest expense.
earn_forecast_mid_yoy,Earnings,"(Ref($p_change_min_q0, 1) + Ref($p_change_max_q0, 1)) / 2",$p_change_max_q0;$p_change_min_q0,raw,unknown_field,no,+,30,"industry,size,value",A-share forecast/preannouncement midpoint: management-guided earnings growth proxy before full financial statements land.
earn_forecast_revision_qoq,Earnings,"((Ref($p_change_min_q0, 1) + Ref($p_change_max_q0, 1)) / 2) - ((Ref($p_change_min_q1, 1) + Ref($p_change_max_q1, 1)) / 2)",$p_change_max_q0;$p_change_max_q1;$p_change_min_q0;$p_change_min_q1,raw,unknown_field,no,+,20,"industry,size,value",Forecast revision: upward movement in management guidance should be more timely than stale YoY indicator snapshots.
earn_forecast_width_confidence,Earnings,"0 - (Ref($p_change_max_q0, 1) - Ref($p_change_min_q0, 1))",$p_change_max_q0;$p_change_min_q0,raw,unknown_field,no,+,20,"industry,size,value","Narrower forecast interval is higher management-confidence / lower uncertainty, conditional on midpoint."
alpha_holder_num_yoy_concentration,Ownership,"0 - (Ref($holder_num_q0, 1) / Ref($holder_num_q4, 1) - 1)",$holder_num_q0;$holder_num_q4,raw,unknown_field,no,+,120,"industry,size,liquidity",A-share shareholder-base concentration: falling holder count often proxies institutional accumulation / less retail crowding.
alpha_holder_num_qoq_concentration,Ownership,"0 - (Ref($holder_num_q0, 1) / Ref($holder_num_q1, 1) - 1)",$holder_num_q0;$holder_num_q1,raw,unknown_field,no,+,60,"industry,size,liquidity",Shorter-horizon holder-count contraction; screen with YoY version to separate persistent accumulation from reporting noise.
limit_up_hit_5d,LimitBoard,"Count(Ref($close, 1) >= Ref($up_limit, 1) * 0.999, 5) / 5",$close;$up_limit,raw,quarantine,no,+,5,"industry,size,liquidity",Exact limit-board continuation candidate; use actual up_limit to avoid hard-coding 10%/20%/ST bands.
limit_down_hit_20d,LimitBoard,"Count(Ref($close, 1) <= Ref($down_limit, 1) * 1.001, 20) / 20",$close;$down_limit,raw,quarantine,no,-,10,"industry,size,liquidity",Limit-down overhang / trading-interference risk after sell-pressure days.
limit_up_distance_1d,LimitBoard,"0 - ((Ref($up_limit, 1) - Ref($close, 1)) / Ref($close, 1))",$close;$up_limit,raw,quarantine,no,+,3,"industry,size,liquidity",Limit-up magnet/proximity proxy; should be screened separately from actual hit counts.
flow_inst_retail_divergence_20d,CapitalFlow,"Mean(Ref(((($buy_lg_amount + $buy_elg_amount - $sell_lg_amount - $sell_elg_amount) - ($buy_sm_amount - $sell_sm_amount)) / $amount), 1), 20)",$amount;$buy_elg_amount;$buy_lg_amount;$buy_sm_amount;$sell_elg_amount;$sell_lg_amount;$sell_sm_amount,raw_flow_over_amount,quarantine,no,+,10,"industry,size,liquidity",Retail-vs-institutional moneyflow divergence: large/extra-large net demand minus small-order net demand.
alpha_chip_cost_compression_20d,AlphaEndpoint,"0 - EMA((Ref($cyq_perf__cost_85pct, 1) - Ref($cyq_perf__cost_15pct, 1)) / Ref($cyq_perf__cost_50pct, 1), 20)",$cyq_perf__cost_15pct;$cyq_perf__cost_50pct;$cyq_perf__cost_85pct,raw,pending_review,no,+,20,"industry,size,liquidity",Chip-cost compression: concentrated cost basis can precede breakout; use as regime/interaction rather than standalone level.
alpha_chip_breakout_pressure,AlphaEndpoint,"(Ref($close, 1) - Ref($cyq_perf__cost_85pct, 1)) / Ref($cyq_perf__cost_85pct, 1)",$close;$cyq_perf__cost_85pct,raw,pending_review,no,+,10,"industry,size,liquidity",Price above the 85th-percentile chip cost marks broad holder profitability / breakout pressure beyond cost50 or weight_avg levels.
